ID;score
255821;0.14607984
255822;0.19300571
255823;0.28598383
255824;0.18168971
255825;0.13207869
255826;0.08678562
255827;0.09365277
255828;0.11457834
255829;0.163205
255830;0.13581339
255831;0.03327801
255832;0.10370139
255833;0.06787875
255834;0.09511347
255835;0.1625503
255836;0.46509892
255837;0.13133363
255838;0.20043203
255839;0.14992921
255840;0.25118288
255841;0.022168603
255842;0.07275778
255843;0.27029246
255844;0.41863108
255845;0.098878756
255846;0.04024403
255847;0.107127205
255848;0.061245736
255849;0.22515614
255850;0.09722333
255851;0.35365424
255852;0.12391992
255853;0.21095188
255854;0.14747447
255855;0.12768252
255856;0.16210723
255857;0.10751209
255858;0.031728912
255859;0.13642912
255860;0.07316192
255861;0.15684716
255862;0.20434147
255863;0.16228396
255864;0.3098782
255865;0.07854456
255866;0.21564656
255867;0.10528268
255868;0.16598064
255869;0.06100306
255870;0.06668326
255871;0.30302617
255872;0.039275743
255873;0.39890793
255874;0.17644957
255875;0.20232043
255876;0.08729556
255877;0.08253011
255878;0.16213016
255879;0.1834889
255880;0.074564666
255881;0.111094326
255882;0.17834684
255883;0.0698701
255884;0.114887685
255885;0.0802766
255886;0.050516766
255887;0.05494828
255888;0.023655174
255889;0.18809393
255890;0.13118187
255891;0.18269491
255892;0.1947693
255893;0.301461
255894;0.03911219
255895;0.058091443
255896;0.26907942
255897;0.22354457
255898;0.0743542
255899;0.08445978
255900;0.10899656
255901;0.21226552
255902;0.25019842
255903;0.06449569
255904;0.2316283
255905;0.050804038
255906;0.21864511
255907;0.046558313
255908;0.11014273
255909;0.07345054
255910;0.19720188
255911;0.2311839
255912;0.30260724
255913;0.03711914
255914;0.06014847
255915;0.22159055
255916;0.09880082
255917;0.1093331
255918;0.18026598
255919;0.16858852
255920;0.13126597
255921;0.15412952
255922;0.29176435
255923;0.28772426
255924;0.3017332
255925;0.08318942
255926;0.21979737
255927;0.41487375
255928;0.09694131
255929;0.29570767
255930;0.02218293
255931;0.31863317
255932;0.0926043
255933;0.08421138
255934;0.04480862
255935;0.060038224
255936;0.21423964
255937;0.12451353
255938;0.26660097
255939;0.16618304
255940;0.19265552
255941;0.10705405
255942;0.2022167
